passage_id,arret_id,ligne_id,horaire,nb_voyageurs
P00087,A0045,L10,2026-06-01 21:27:53,35
P00088,A0046,L03,2026-06-01 20:28:16,15
P00089,A0057,L05,2026-06-01 21:31:40,15
P00090,A0032,L08,2026-06-01 08:15:17,21
P00091,A0036,L09,2026-06-01 07:14:24,44
P00092,A0019,L12,2026-06-01 09:26:21,34
P00093,A0048,L07,2026-06-01 09:24:57,37
P00094,A0014,L01,2026-06-01 15:30:00,22
P00095,A0004,L07,2026-06-01 15:34:47,34
P00096,A0029,L04,2026-06-01 18:27:31,1
P00097,A0016,L06,2026-06-01 19:46:10,29
P00098,A0006,L10,2026-06-01 19:37:36,42
P00099,A0004,L02,2026-06-01 17:55:29,11
P00100,A0007,L05,2026-06-01 17:29:20,21
P00101,A0042,L05,2026-06-01 15:16:53,5
P00102,A0037,L01,2026-06-01 05:22:14,41
P00103,A0009,L11,2026-06-01 06:15:12,1
P00104,A0026,L03,2026-06-01 09:42:07,36
P00105,A0026,L08,2026-06-01 18:10:38,38
P00106,A0006,L02,2026-06-01 11:19:06,37
P00107,A0004,L05,2026-06-01 19:25:45,12
P00108,A0010,L10,2026-06-01 17:06:44,19
P00109,A0059,L10,2026-06-01 05:22:34,27
P00110,A0036,L06,2026-06-01 08:00:54,26
P00111,A0040,L02,2026-06-01 18:40:57,29
P00112,A0028,L03,2026-06-01 18:39:51,34
P00113,A0038,L08,2026-06-01 18:20:54,15
P00114,A0012,L05,2026-06-01 12:48:29,36
P00115,A0027,L11,2026-06-01 16:31:54,20
P00116,A0023,L08,2026-06-01 08:21:17,38
P00117,A0014,L05,2026-06-01 17:05:15,26
P00118,A0040,L09,2026-06-01 20:41:45,31
P00119,A0046,L01,2026-06-01 07:25:44,15
P00120,A0035,L11,2026-06-01 19:35:33,22
P00121,A0044,L12,2026-06-01 18:44:29,17
P00122,A0035,L05,2026-06-01 07:20:07,34
P00123,A0060,L03,2026-06-01 09:17:46,37
P00124,A0052,L10,2026-06-01 06:53:12,18
P00125,A0028,L06,2026-06-01 06:45:34,8
P00126,A0032,L01,2026-06-01 21:18:44,8
P00127,A0057,L08,2026-06-01 06:36:18,30
P00128,A0038,L08,2026-06-01 06:16:55,30
P00129,A0015,L02,2026-06-01 16:36:40,43
P00130,A0007,L03,2026-06-01 08:05:15,7
P00131,A0009,L07,2026-06-01 17:49:33,24
P00132,A0046,L08,2026-06-01 09:19:36,39
P00133,A0008,L10,2026-06-01 10:48:13,40
P00134,A0026,L05,2026-06-01 17:15:11,35
P00135,A0010,L03,2026-06-01 09:44:38,30
P00136,A0034,L01,2026-06-01 08:44:55,29
P00137,A0010,L11,2026-06-01 08:50:50,40
P00138,A0036,L11,2026-06-01 12:27:07,34
P00139,A0027,L11,2026-06-01 08:52:09,4
P00140,A0008,L03,2026-06-01 13:28:07,29
P00141,A0060,L05,2026-06-01 18:32:34,31
P00142,A0045,L02,2026-06-01 19:47:20,38
P00143,A0030,L01,2026-06-01 06:48:43,17
P00144,A0054,L01,2026-06-01 11:30:33,41
P00145,A0045,L05,2026-06-01 09:40:52,31
P00146,A0012,L08,2026-06-01 08:20:42,6
P00147,A0020,L06,2026-06-01 19:18:42,25
P00148,A0040,L01,2026-06-01 18:16:20,7
P00149,A0043,L09,2026-06-01 05:42:55,34
P00150,A0048,L07,2026-06-01 08:39:48,31
P00151,A0056,L08,2026-06-01 12:17:35,8
P00152,A0033,L08,2026-06-01 20:07:01,40
P00153,A0029,L04,2026-06-01 13:35:00,35
P00154,A0022,L02,2026-06-01 06:29:07,41
P00155,A0019,L08,2026-06-01 13:32:45,17
P00156,A0025,L08,2026-06-01 12:29:35,9
P00157,A0016,L04,2026-06-01 21:47:56,8
P00158,A0009,L05,2026-06-01 15:21:59,32
P00159,A0009,L01,2026-06-01 08:53:37,37
P00160,A0036,L08,2026-06-01 20:34:30,22
P00161,A0009,L09,2026-06-01 15:29:59,20
P00162,A0024,L12,2026-06-01 09:14:54,26
P00163,A0006,L06,2026-06-01 15:24:42,41
P00164,A0019,L08,2026-06-01 11:32:37,21
P00165,A0013,L08,2026-06-01 09:00:46,9
P00166,A0022,L11,2026-06-01 10:30:50,16
P00167,A0037,L10,2026-06-01 16:54:21,43
P00168,A0047,L07,2026-06-01 20:55:34,2
P00169,A0026,L02,2026-06-01 08:14:47,5
P00170,A0036,L02,2026-06-01 10:28:10,44
P00171,A0004,L01,2026-06-01 06:18:22,23
P00172,A0036,L03,2026-06-01 09:36:43,11
P00173,A0021,L03,2026-06-01 09:39:43,15
P00174,A0009,L10,2026-06-01 09:40:16,29
P00175,A0030,L11,2026-06-01 09:57:18,43
P00176,A0037,L03,2026-06-01 08:37:19,40
P00177,A0044,L12,2026-06-01 08:12:24,30
P00178,A0014,L04,2026-06-01 18:36:18,44
P00179,A0034,L01,2026-06-01 15:17:00,36
P00180,A0059,L12,2026-06-01 20:53:57,18
P00181,A0028,L10,2026-06-01 12:40:12,39
P00182,A0030,L11,2026-06-01 11:40:06,40
P00183,A0055,L01,2026-06-01 09:02:37,23
P00184,A0006,L02,2026-06-01 14:47:26,11
P00185,A0025,L03,2026-06-01 14:33:32,17
P00186,A0021,L05,2026-06-01 20:51:18,21
P00187,A0015,L08,2026-06-01 11:48:14,43
P00188,A0009,L11,2026-06-01 21:23:05,25
P00189,A0002,L05,2026-06-01 19:23:43,43
P00190,A0031,L10,2026-06-01 18:06:43,14
P00191,A0037,L01,2026-06-01 18:58:39,14
P00192,A0055,L02,2026-06-01 19:58:44,19
P00193,A0006,L07,2026-06-01 06:02:19,31
P00194,A0015,L02,2026-06-01 07:24:29,23
P00195,A0009,L12,2026-06-01 19:37:47,9
P00196,A0025,L11,2026-06-01 09:39:26,17
P00197,A0005,L12,2026-06-01 19:28:15,23
P00198,A0013,L11,2026-06-01 18:03:25,17
P00199,A0024,L02,2026-06-01 20:05:42,13
P00200,A0055,L11,2026-06-01 16:03:50,21
P00201,A0015,L03,2026-06-01 12:04:53,35
P00202,A0009,L10,2026-06-01 07:21:49,9
P00203,A0016,L01,2026-06-01 07:08:34,16
P00204,A0022,L02,2026-06-01 16:08:00,22
P00205,A0029,L10,2026-06-01 07:16:03,8
P00206,A0025,L09,2026-06-01 06:30:28,23
P00207,A0050,L10,2026-06-01 07:39:02,42
P00208,A0051,L05,2026-06-01 16:03:30,25
P00209,A0044,L11,2026-06-01 09:04:57,5
P00210,A0006,L10,2026-06-01 07:17:39,40
P00211,A0055,L09,2026-06-01 15:38:33,18
P00212,A0047,L09,2026-06-01 16:50:44,7
P00213,A0006,L11,2026-06-01 21:46:55,13
P00214,A0036,L08,2026-06-01 15:21:52,29
P00215,A0043,L07,2026-06-01 14:27:20,42
P00216,A0030,L06,2026-06-01 20:04:05,5
P00217,A0012,L07,2026-06-01 08:51:08,35
P00218,A0008,L10,2026-06-01 21:21:42,7
P00219,A0022,L06,2026-06-01 15:55:58,3
P00220,A0033,L10,2026-06-01 06:36:32,13
P00221,A0019,L11,2026-06-01 16:22:54,35
P00222,A0041,L02,2026-06-01 12:51:27,35
P00223,A0026,L10,2026-06-01 16:38:59,42
P00224,A0060,L05,2026-06-01 08:44:48,19
P00225,A0037,L06,2026-06-01 07:36:42,25
P00226,A0009,L03,2026-06-01 05:05:47,33
P00227,A0026,L07,2026-06-01 18:10:23,19
P00228,A0009,L06,2026-06-01 10:56:03,9
P00229,A0020,L10,2026-06-01 06:17:28,42
P00230,A0044,L08,2026-06-01 19:17:13,32
P00231,A0015,L06,2026-06-01 18:43:43,37
P00232,A0040,L09,2026-06-01 16:14:25,38
P00233,A0008,L01,2026-06-01 07:49:08,16
P00234,A0034,L06,2026-06-01 09:47:27,11
P00235,A0006,L07,2026-06-01 17:32:35,42
P00236,A0039,L02,2026-06-01 16:27:01,29
P00237,A0010,L06,2026-06-01 19:45:40,26
P00238,A0034,L02,2026-06-01 18:10:51,39
P00239,A0047,L12,2026-06-01 10:27:54,6
P00240,A0015,L07,2026-06-01 16:25:55,19
P00241,A0037,L04,2026-06-01 07:04:32,40
P00242,A0015,L09,2026-06-01 18:22:46,41
P00243,A0018,L04,2026-06-01 08:12:11,38
P00244,A0019,L11,2026-06-01 09:29:48,36
P00245,A0055,L08,2026-06-01 18:55:40,20
P00246,A0019,L08,2026-06-01 09:40:19,17
P00247,A0036,L01,2026-06-01 16:19:29,28
P00248,A0005,L01,2026-06-01 18:04:41,5
P00249,A0027,L10,2026-06-01 19:37:35,2
P00250,A0046,L10,2026-06-01 18:38:30,32
P00251,A0019,L01,2026-06-01 18:45:05,32
P00252,A0055,L03,2026-06-01 09:28:33,33
P00253,A0027,L03,2026-06-01 18:24:26,21
P00254,A0058,L10,2026-06-01 08:04:21,6
P00255,A0009,L11,2026-06-01 18:46:54,42
P00256,A0029,L03,2026-06-01 07:58:22,19
P00257,A0006,L12,2026-06-01 17:38:45,5
P00258,A0035,L09,2026-06-01 18:52:08,42
P00259,A0014,L12,2026-06-01 21:05:41,42
P00260,A0044,L09,2026-06-01 18:19:11,13
P00261,A0037,L08,2026-06-01 07:09:04,18
P00262,A0013,L09,2026-06-01 21:02:42,21
P00263,A0026,L03,2026-06-01 17:10:11,44
P00264,A0026,L03,2026-06-01 05:26:23,43
P00265,A0009,L04,2026-06-01 13:48:47,28
P00266,A0028,L09,2026-06-01 09:57:53,12
P00267,A0041,L11,2026-06-01 20:29:49,18
P00268,A0042,L09,2026-06-01 17:52:12,38
P00269,A0017,L05,2026-06-01 09:55:23,35
P00270,A0014,L12,2026-06-01 10:18:05,10
P00271,A0009,L08,2026-06-01 11:53:27,5
P00272,A0027,L08,2026-06-01 05:26:03,25
P00273,A0049,L06,2026-06-01 06:23:14,1
P00274,A0036,L02,2026-06-01 14:50:09,8
P00275,A0005,L05,2026-06-01 20:44:53,8
P00276,A0028,L08,2026-06-01 16:57:05,1
P00277,A0030,L04,2026-06-01 21:46:38,33
P00278,A0044,L02,2026-06-01 12:19:07,3
P00279,A0029,L07,2026-06-01 19:04:07,31
P00280,A0016,L09,2026-06-01 07:45:09,18
P00281,A0044,L01,2026-06-01 17:36:26,11
P00282,A0009,L11,2026-06-01 08:04:33,34
P00283,A0049,L09,2026-06-01 19:55:30,2
P00284,A0057,L07,2026-06-01 13:47:01,22
P00285,A0009,L06,2026-06-01 06:49:37,21
P00286,A0017,L01,2026-06-01 18:52:41,11
P00287,A0059,L08,2026-06-01 20:40:11,8
P00288,A0009,L12,2026-06-01 20:02:18,12
P00289,A0006,L04,2026-06-01 14:59:19,32
P00290,A0020,L09,2026-06-01 16:48:41,12
P00291,A0033,L06,2026-06-01 05:55:41,21
P00292,A0009,L02,2026-06-01 15:56:25,28
P00293,A0016,L06,2026-06-01 20:44:31,23
P00294,A0051,L05,2026-06-01 15:05:27,38
P00295,A0023,L09,2026-06-01 06:05:20,42
P00296,A0034,L05,2026-06-01 19:10:44,28
P00297,A0038,L08,2026-06-01 08:39:27,17
P00298,A0057,L01,2026-06-01 09:23:32,43
P00299,A0020,L01,2026-06-01 09:02:08,4
P00300,A0029,L11,2026-06-01 19:36:02,38
P00301,A0019,L11,2026-06-01 18:23:28,4
P00302,A0054,L03,2026-06-01 19:20:41,17
P00303,A0015,L02,2026-06-01 07:31:33,24
P00304,A0009,L02,2026-06-01 08:45:28,13
P00305,A0027,L05,2026-06-01 19:12:07,8
P00306,A0010,L08,2026-06-01 09:05:51,43
P00307,A0036,L11,2026-06-01 06:35:34,18
P00308,A0004,L03,2026-06-01 11:50:23,32
P00309,A0027,L02,2026-06-01 11:15:50,31
P00310,A0004,L06,2026-06-01 18:29:51,35
P00311,A0006,L10,2026-06-01 10:19:25,45
P00312,A0009,L08,2026-06-01 19:52:36,4
P00313,A0006,L06,2026-06-01 19:29:43,33
P00314,A0038,L03,2026-06-01 21:40:37,11
P00315,A0006,L07,2026-06-01 16:53:07,33
P00316,A0019,L05,2026-06-01 08:59:45,14
P00317,A0038,L09,2026-06-01 10:16:12,40
P00318,A0040,L05,2026-06-01 08:39:34,5
P00319,A0049,L11,2026-06-01 07:10:42,39
P00320,A0009,L10,2026-06-01 06:52:55,1
P00321,A0011,L01,2026-06-01 13:41:13,36
P00322,A0025,L10,2026-06-01 19:56:40,34
P00323,A0034,L11,2026-06-01 20:15:51,43
P00324,A0043,L05,2026-06-01 16:10:28,26
P00325,A0038,L08,2026-06-01 07:20:55,45
P00326,A0036,L12,2026-06-01 14:25:08,23
P00327,A0050,L09,2026-06-01 07:29:07,17
P00328,A0046,L04,2026-06-01 06:18:24,39
P00329,A0025,L04,2026-06-01 11:52:20,36
P00330,A0009,L06,2026-06-01 07:31:32,29
P00331,A0009,L05,2026-06-01 16:25:32,29
P00332,A0029,L04,2026-06-01 16:03:18,31
P00333,A0016,L11,2026-06-01 18:34:00,6
P00334,A0036,L03,2026-06-01 14:48:25,23
P00335,A0006,L07,2026-06-01 07:23:35,18
P00336,A0010,L07,2026-06-01 18:52:39,43
P00337,A0027,L02,2026-06-01 06:25:23,21
P00338,A0009,L06,2026-06-01 12:38:32,25
P00339,A0049,L01,2026-06-01 07:45:21,30
P00340,A0051,L08,2026-06-01 07:20:59,39
P00341,A0036,L03,2026-06-01 18:37:21,32
P00342,A0050,L09,2026-06-01 18:30:52,1
P00343,A0041,L06,2026-06-01 19:37:19,44
P00344,A0056,L01,2026-06-01 18:41:50,37
P00345,A0054,L04,2026-06-01 20:10:33,40
P00346,A0009,L10,2026-06-01 15:09:52,43
P00347,A0015,L01,2026-06-01 16:12:01,28
P00348,A0036,L07,2026-06-01 07:26:32,39
P00349,A0037,L12,2026-06-01 11:33:13,35
P00350,A0006,L11,2026-06-01 19:20:11,29
P00351,A0047,L06,2026-06-01 18:39:30,12
P00352,A0015,L05,2026-06-01 17:19:49,18
P00353,A0028,L04,2026-06-01 19:20:30,22
P00354,A0009,L12,2026-06-01 06:36:43,34
P00355,A0042,L07,2026-06-01 11:18:02,18
P00356,A0006,L02,2026-06-01 09:41:16,30
P00357,A0026,L04,2026-06-01 13:59:35,44
P00358,A0009,L03,2026-06-01 07:15:03,42
P00359,A0052,L04,2026-06-01 16:06:26,21
P00360,A0006,L08,2026-06-01 07:00:35,10
P00361,A0022,L11,2026-06-01 20:30:41,12
P00362,A0033,L06,2026-06-01 06:58:49,5
P00363,A0006,L10,2026-06-01 06:58:58,11
P00364,A0025,L03,2026-06-01 05:53:25,31
P00365,A0023,L12,2026-06-01 13:56:02,0
P00366,A0004,L10,2026-06-01 18:18:29,41
P00367,A0037,L09,2026-06-01 17:54:32,29
P00368,A0009,L04,2026-06-01 14:10:46,29
P00369,A0055,L05,2026-06-01 05:47:21,18
P00370,A0053,L11,2026-06-01 11:39:54,40
P00371,A0043,L07,2026-06-01 16:25:42,6
P00372,A0023,L03,2026-06-01 17:00:16,24
P00373,A0029,L08,2026-06-01 14:19:37,36
P00374,A0002,L05,2026-06-01 17:03:42,7
P00375,A0048,L05,2026-06-01 08:44:07,40
P00376,A0034,L06,2026-06-01 17:08:30,9
P00377,A0047,L12,2026-06-01 14:26:44,35
P00378,A0037,L09,2026-06-01 12:48:15,43
P00379,A0016,L02,2026-06-01 18:04:58,36
P00380,A0015,L01,2026-06-01 21:12:36,34
P00381,A0019,L03,2026-06-01 09:07:43,13
P00382,A0006,L10,2026-06-01 19:51:03,29
P00383,A0006,L09,2026-06-01 16:35:29,43
P00384,A0035,L12,2026-06-01 08:52:00,13
P00385,A0055,L02,2026-06-01 08:44:04,34
P00386,A0008,L02,2026-06-01 20:02:18,26
P00387,A0023,L03,2026-06-01 15:23:57,24
P00388,A0046,L07,2026-06-01 17:41:55,22
P00389,A0016,L03,2026-06-01 15:33:08,14
P00390,A0001,L01,2026-06-01 20:43:46,34
P00391,A0044,L09,2026-06-01 17:15:29,22
P00392,A0019,L05,2026-06-01 06:02:51,42
P00393,A0025,L10,2026-06-01 05:15:13,4
P00394,A0013,L10,2026-06-01 06:15:47,2
P00395,A0043,L08,2026-06-01 07:48:55,3
P00396,A0017,L09,2026-06-01 12:52:58,36
P00397,A0036,L10,2026-06-01 18:15:19,9
P00398,A0036,L09,2026-06-01 08:17:03,35
P00399,A0036,L12,2026-06-01 15:35:31,3
P00400,A0038,L11,2026-06-01 18:44:26,26
P00401,A0019,L05,2026-06-01 19:15:54,14
P00402,A0004,L12,2026-06-01 09:58:03,35
P00403,A0022,L07,2026-06-01 17:24:15,16
P00404,A0009,L06,2026-06-01 19:54:23,5
P00405,A0047,L12,2026-06-01 05:17:24,43
P00406,A0029,L10,2026-06-01 06:12:51,37
P00407,A0009,L11,2026-06-01 19:13:55,21
P00408,A0004,L01,2026-06-01 07:47:07,30
P00409,A0015,L12,2026-06-01 17:25:58,15
P00410,A0040,L06,2026-06-01 15:29:34,41
P00411,A0039,L05,2026-06-01 09:29:06,30
P00412,A0036,L04,2026-06-01 19:02:36,14
P00413,A0018,L01,2026-06-01 09:18:09,12
P00414,A0009,L04,2026-06-01 17:31:35,41
P00415,A0059,L06,2026-06-01 09:46:41,31
P00416,A0047,L03,2026-06-01 14:10:08,34
P00417,A0040,L03,2026-06-01 21:41:03,33
P00418,A0005,L02,2026-06-01 05:48:00,26
P00419,A0017,L11,2026-06-01 07:00:13,32
P00420,A0047,L06,2026-06-01 09:42:31,1
P00421,A0001,L09,2026-06-01 16:01:33,17
P00422,A0047,L05,2026-06-01 09:51:58,11
P00423,A0014,L02,2026-06-01 17:12:39,33
P00424,A0030,L06,2026-06-01 09:05:23,25
P00425,A0047,L10,2026-06-01 07:19:43,5
P00426,A0006,L11,2026-06-01 10:25:24,24
P00427,A0040,L08,2026-06-01 06:44:10,5
P00428,A0009,L07,2026-06-01 18:36:54,6
P00429,A0052,L01,2026-06-01 09:17:02,4
P00430,A0059,L05,2026-06-01 05:11:59,20
P00431,A0003,L04,2026-06-01 19:59:04,19
P00432,A0020,L10,2026-06-01 09:43:57,34
P00433,A0009,L07,2026-06-01 11:50:44,5
P00434,A0049,L12,2026-06-01 05:06:27,14
P00435,A0010,L06,2026-06-01 19:49:20,1
P00436,A0057,L05,2026-06-01 20:31:14,22
P00437,A0040,L07,2026-06-01 19:05:49,39
P00438,A0034,L04,2026-06-01 10:17:09,24
P00439,A0006,L11,2026-06-01 09:20:23,6
P00440,A0012,L01,2026-06-01 20:23:48,17
P00441,A0014,L03,2026-06-01 09:28:35,35
P00442,A0050,L07,2026-06-01 06:22:35,5
P00443,A0016,L10,2026-06-01 15:00:18,26
P00444,A0016,L02,2026-06-01 21:57:15,36
P00445,A0051,L03,2026-06-01 17:08:17,19
P00446,A0009,L08,2026-06-01 07:27:17,26
P00447,A0004,L08,2026-06-01 14:16:15,40
P00448,A0009,L10,2026-06-01 19:06:08,19
P00449,A0001,L07,2026-06-01 09:51:55,21
P00450,A0045,L06,2026-06-01 17:19:20,38
P00451,A0060,L04,2026-06-01 17:25:20,18
P00452,A0060,L11,2026-06-01 17:20:24,17
P00453,A0020,L06,2026-06-01 07:37:34,11
P00454,A0059,L09,2026-06-01 09:45:13,28
P00455,A0034,L12,2026-06-01 09:43:31,8
P00456,A0057,L05,2026-06-01 07:45:27,24
P00457,A0010,L08,2026-06-01 20:37:25,34
P00458,A0049,L12,2026-06-01 16:50:23,44
P00459,A0047,L10,2026-06-01 16:06:49,15
P00460,A0036,L11,2026-06-01 16:36:41,43
P00461,A0055,L07,2026-06-01 14:50:27,6
P00462,A0002,L02,2026-06-01 07:28:23,25
P00463,A0048,L11,2026-06-01 17:22:01,30
P00464,A0014,L05,2026-06-01 16:07:53,9
P00465,A0038,L05,2026-06-01 07:33:30,22
P00466,A0037,L02,2026-06-01 19:20:04,19
P00467,A0006,L12,2026-06-01 08:41:06,43
P00468,A0021,L12,2026-06-01 07:35:10,21
P00469,A0009,L07,2026-06-01 12:51:25,40
P00470,A0023,L03,2026-06-01 19:25:01,39
P00471,A0025,L08,2026-06-01 19:00:45,13
P00472,A0009,L05,2026-06-01 10:36:06,34
P00473,A0023,L06,2026-06-01 09:07:16,42
P00474,A0040,L09,2026-06-01 14:38:24,39
P00475,A0020,L10,2026-06-01 08:54:29,39
P00476,A0022,L11,2026-06-01 13:58:39,37
P00477,A0011,L11,2026-06-01 06:15:19,7
P00478,A0023,L06,2026-06-01 19:26:38,8
P00479,A0054,L07,2026-06-01 19:40:34,44
P00480,A0055,L03,2026-06-01 19:18:08,11
P00481,A0036,L08,2026-06-01 18:00:31,8
P00482,A0024,L07,2026-06-01 21:41:31,26
P00483,A0059,L08,2026-06-01 19:31:10,5
P00484,A0053,L01,2026-06-01 12:18:02,17
P00485,A0027,L09,2026-06-01 09:36:47,31
P00486,A0040,L09,2026-06-01 06:17:49,34
P00487,A0040,L09,2026-06-01 05:48:46,28
P00488,A0037,L04,2026-06-01 10:47:53,41
P00489,A0015,L05,2026-06-01 05:28:16,22
P00490,A0012,L08,2026-06-01 10:49:51,15
P00491,A0009,L12,2026-06-01 18:55:45,39
P00492,A0056,L07,2026-06-01 07:50:13,13
P00493,A0008,L10,2026-06-01 18:38:34,10
P00494,A0006,L12,2026-06-01 08:54:32,43
P00495,A0013,L03,2026-06-01 15:58:03,17
P00496,A0006,L03,2026-06-01 11:15:09,45
P00497,A0006,L04,2026-06-01 15:31:09,36
P00498,A0056,L05,2026-06-01 19:28:04,40
P00499,A0012,L07,2026-06-01 18:44:59,23
P00500,A0047,L08,2026-06-01 06:55:49,5
P00501,A0047,L11,2026-06-01 18:54:04,34
P00502,A0020,L04,2026-06-01 12:31:17,20
P00503,A0033,L06,2026-06-01 17:36:54,31
P00504,A0037,L11,2026-06-01 05:06:40,29
P00505,A0003,L02,2026-06-01 11:28:29,0
P00506,A0044,L04,2026-06-01 11:56:41,19
P00507,A0020,L05,2026-06-01 08:16:05,23
P00508,A0009,L11,2026-06-01 09:40:19,44
P00509,A0028,L07,2026-06-01 16:00:13,30
P00510,A0010,L03,2026-06-01 19:00:00,44
P00511,A0037,L02,2026-06-01 15:44:08,30
P00512,A0010,L04,2026-06-01 16:06:20,23
P00513,A0004,L03,2026-06-01 17:41:43,9
P00514,A0009,L09,2026-06-01 17:28:22,13
P00515,A0056,L12,2026-06-01 09:39:43,28
P00516,A0026,L02,2026-06-01 11:48:07,37
P00517,A0016,L06,2026-06-01 14:50:08,15
P00518,A0032,L11,2026-06-01 08:49:44,1
P00519,A0036,L05,2026-06-01 07:47:25,18
P00520,A0055,L01,2026-06-01 12:31:24,7
P00521,A0029,L08,2026-06-01 16:33:56,0
P00522,A0040,L06,2026-06-01 09:23:34,43
P00523,A0022,L08,2026-06-01 10:01:37,4
P00524,A0002,L05,2026-06-01 06:50:25,32
P00525,A0033,L11,2026-06-01 15:27:44,25
P00526,A0011,L11,2026-06-01 17:17:05,19
P00527,A0011,L09,2026-06-01 11:34:20,25
P00528,A0036,L11,2026-06-01 10:19:44,27
P00529,A0029,L01,2026-06-01 09:07:29,39
P00530,A0029,L01,2026-06-01 07:07:00,45
P00531,A0017,L12,2026-06-01 09:22:33,33
P00532,A0009,L05,2026-06-01 07:47:49,17
P00533,A0016,L01,2026-06-01 09:17:33,4
P00534,A0031,L12,2026-06-01 10:31:29,32
P00535,A0040,L01,2026-06-01 17:23:10,16
P00536,A0014,L10,2026-06-01 16:14:47,32
